name,degree,city,district,address,location,phone,price,description,hid
深圳四季酒店,豪华型,深圳市,福田区,广东省深圳市福田区四季酒店,"114.058021,22.533242",电话0755-88268888 传真0755-88268869  纠错,¥1384,"深圳四季酒店地处深圳最繁华的福田中央商务区，会展中心近在咫尺，距离时尚购物中心仅几步之遥。酒店临近市民中心，约1小时以上的行程即可到达香港中环、香港国际机场、澳门和广州。
　　深圳四季酒店设有各类豪华客房，包括瑰丽非凡的套房，时尚设计装潢洋绽放华夏色彩。四间餐厅及酒廊，包括拥有10间贵宾房的高级粤菜食府和一家全日提供国际美食的优雅餐厅。
　　深圳四季酒店为您提供全方位理疗服务的水疗中心拥有7间独立芳疗室；室外游泳池、小型按摩池，室内游泳池和24小时开放的健身中心。会议活动场地超过1480平方米（16,000平方英尺），其中包括一个大宴会厅，五个会议室及户外花园平台。完善的休闲娱乐设施、热情细致的服务，让宾客尽享舒适、豪华体验。",11
深圳南山CitiGO欢阁酒店,高档型,深圳市,南山区,广东省深圳市南山区南山,"113.926325,22.523781",电话0755-27479188  纠错,¥421,"深圳南山CitiGO欢阁酒店位于知名的深圳软件产业基地，周边名企遍布，毗邻腾讯大厦、芒果大厦和深圳大学。酒店交通便利，地铁9、2、11号线均可到达，距离地铁9号线深大南地铁站A1出口100米左右；距离地铁2、11号线科苑站、后海站约800米左右。
　　CitiGO是华住集团旗下中高档酒店品牌，名字取自英文“City，Go!”,表述了品牌年轻、自由、随性的风格，以及立足城市社区，打造“有趣”的高品质入住空间的匠心。
　　住在CitiGO很“有趣”。开门不用房卡，看电视不用遥控器，连空调、灯光、窗帘都能用手机智能控制。露台酒吧、共享办公、健身房、洗衣房……庞大的公区也是当地社区的共享社交客厅。旅行者和本地居民坐在一起，认识新朋友，畅聊城中热点新闻。
　　在品质和服务方面，CitiGO始终坚持初心，精益求精。旗下酒店均由国际知名设计师亲自执笔，将旅行、运动、城市文化等元素通过空间设计巧妙融合，打造城市旅居的独特魅力。客房则把“沐浴”和“睡眠”两个核心体验做到惊艳。淋浴设施由德国原装进口，甄选国际奢华品牌“汉斯格雅”、“高仪”。牙膏选用日本药妆级品牌“Ora2”。床垫采用泰国天然乳胶打造，羽绒床品充绒量达90%。餐厅16小时不停歇，7:00-12:00超长早餐、现磨咖啡、精酿啤酒、免费宵夜，提供人性化的温情服务。
　　CitiGO的品牌精神里，植入了年轻族群随性、积极向上的生活方式理念。在每个城市，CitiGO已经走出传统酒店的框架，成为一个有趣的社交潮流域。",12
精选 深圳摩登克斯酒店,豪华型,深圳市,罗湖区,广东省深圳市罗湖区摩登克斯酒店,"114.112090,22.539629",电话0755-61866789 传真0755-61866987  纠错,¥1515,"深圳摩登克斯酒店位于时尚魅力之都——深圳罗湖，地处金融商贸、文化娱乐的发源地，是连接深港两地的重要动脉。 
　　
　　深圳摩登克斯酒店与奢侈品牌汇聚地——“万象城”齐肩，与香港隔河相望。酒店秉承摩登克斯卓越的服务，让宾客拥有非一般的入住体验，流连忘返。酒店立足于超前新颖的设计风格，引领国际精品酒店设计时尚，贯通艺术风格的方方面面，倾情打造超越想象的精品高端酒店。",13
金中环服务公寓(深圳新浩e都店),舒适型,深圳市,福田区,广东省深圳市福田区金中环服务公寓,"114.069789,22.564850",电话0755-36847111 传真0755-33222218  纠错,,"金中环服务公寓(深圳新浩e都店)位于北环大道和彩田路的交汇处，是集办公楼、购物中心和服务式公寓于一体，离会展中心、华强北约13分钟车程，交通便利。
　　公寓装修风格采取欧式和现代化的清新、淡雅为基调，配上智能淋浴温控和整套星级用品，每间客房都有超大飘窗，整栋大楼通风和采光效果都非常好，旨在带给您健康的生活环境
　　此外，公寓4楼的中庭区有会议室，餐吧，健身房，瑜伽房，空中花园和室外泳池等综合配套设施，是商务出差，旅游休闲优质之选。",14
精选 深圳坂田中成亚朵酒店,豪华型,深圳市,龙岗区,广东省深圳市龙岗区中成亚朵,"114.059078,22.662975",电话0755-81668166  纠错,¥581,"深圳坂田华为中成亚朵酒店坐落于坂田五和大道旁，紧靠华为总部基地、毗邻天安云谷、宝能科技园、富士康、金荣达工业园、硅谷动力清湖园总部等大型高端科技商业圈。周边衣食住行娱乐配套齐全。
　　深圳坂田华为中成亚朵酒店交通便捷，华为富士康高速出口即到，直达深圳北站高铁站仅需15分钟车程，距离深圳机场T3航站楼仅需25分钟车程。
　　深圳坂田华为中成亚朵酒店设计理念是以阅读和人文摄影为主题，高品质的客房产品设施，细致温馨的服务，带给您“自然、静谧、温暖、朴实”的健康生活方式。所有客房均采用堪比星级酒店的普兰特系列优质床品，中央空调，全套高端本草精油洗浴用品，100M高速光纤，全WIFI覆盖。
　　深圳坂田华为中成亚朵酒店设有餐厅(相招)、多功能会议室（共语）、洗熨烘干自助洗衣房（出尘）及超大阅读会友书吧（竹居），为您提供一个自在、放松的居停空间。在这里，能够休憩、充电、放松，是您商务出行及旅游的理想选择。",15
豪派特华美达广场酒店(深圳北站店),高档型,深圳市,龙华区,广东省深圳市龙华区豪派特华美达广场酒店,"114.034140,22.620462",电话0755-81718888 传真0755-81711222  纠错,,"豪派特华美达广场酒店（深圳北站店）高耸于龙华区“深圳北站”旁，地处梅龙路与民旺路交界处，优越的地理位置，方便宾客来往深圳北站、机场、世界之窗、欢乐谷等地，同时距会展中心约20分钟车程。
　　酒店由美国温德姆集团旗下的RAMADA PLAZA品牌特许经营，温德姆酒店集团拥有13个酒店品牌及超过7440家酒店遍布全球，华美达品牌在全球50多个国家、逾800多个地区拥有近900家酒店，华美达品牌目前在中国已经超过70家酒店。
　　酒店提供中西餐厅、客房、健身中心、礼宾服务及完善的会议和宴会设施。客房均配备有线及无线上网接口、液晶电视与落地窗，双床房均为1.5米X2.1米X2张的双大床垫配置，适合亲子出游及朋友聚会，让您独享商务、休闲、旅游度假的温馨旅途。",16
深圳南山中成美爵酒店,豪华型,深圳市,南山区,广东省深圳市南山区南山,"113.926325,22.523781",电话+86-755-81588158  纠错,¥1059,"深圳南山中成美爵酒店位于南山区黄金地段，汇聚八方优势，距皇岗口岸、深圳火车站近在邻里，毗邻蛇口港，深圳湾口岸至香港的西部通道，交通极为便利。
　　深圳南山中成美爵酒店楼高9层，是一家集商务，休闲，娱乐与会议于一体的商务型酒店。酒店的设计将繁华时尚与宁静致远相结合，客房独具匠心，让您感受细致的服务与殷切的关怀，让您尽情享受时尚品味与生活质感的全新体验。",17
深圳南山亚朵QQSVIP酒店,高档型,深圳市,南山区,广东省深圳市南山区亚朵酒店,"113.926880,22.516014",电话0755-86678966 传真0755-86670826  纠错,¥599,"深圳南山亚朵QQSVIP酒店位于南山区政治及经济中心黄金地段，比邻腾讯集团大厦、高新科技园、南山文体中心、南头美食一条街，周边集购物、餐饮、娱乐、商务为一体。和深圳湾、蛇口港等口岸距离较近，也方便前往世界之窗、欢乐谷、野生动物园、华侨城等旅游景点。
　　南山亚朵QQ超级会员酒店充满QQ元素，不仅房间有特供的腾讯9420智能音箱，大堂还有可爱的MIGO机器人小管家帮您送外卖，引导您进入房间。酒店专属的智Q主题房，让您享受到不一样的智能化客房服务。
　　房间均采用普兰特系列定制床垫，中央空调，全套阿芙（AFU）洗浴用品，100M高速光纤，全WIFI覆盖。酒店设有餐厅（相招）、多功能会议室（共语）、洗熨烘干自助洗衣房（出尘）、运动空间（汗出）及宽敞的阅读会友书吧（竹居），为您提供一个自在、放松、休憩、充电、会友的居停空间。同时自然、静谧、温暖、智能化的入住体验与您随行，是您商务及旅游出行的最优选择。",18
深圳湾科技园中南海滨大酒店,高档型,深圳市,南山区,广东省深圳市南山区中南海滨大酒店,"113.919643,22.537961",电话0755-26088736 传真0755-26088193  纠错,,"深圳湾科技园中南海滨大酒店是中南海怡酒店（集团）有限公司旗下的酒店、绿色5叶级酒店、及世界金钥匙酒店联盟会员。酒店紧邻深南大道与科技园，位于南山区南新路3125号中南半岛大厦，紧临1号线桃园站B出口、机场11号线南山站H出口，地铁直达世界之窗、欢乐谷、锦绣中华等国家4A景区，打车到前海自贸区和青青世界约15分钟，打车到福田高铁站、深圳北站，宝安国际机场，会展中心约30分钟。步行周边购物休闲地：欢乐颂，南头古城，南山图书馆，南山文体中心，中山公园，百川国际影城，荷兰花卉小镇，南头美食一条街仅咫尺之遥。
　　酒店设施齐全，融新世纪智能化、现代化、绿色化等设计风格于一体。酒店拥有装饰豪华舒适的各类客房100余间，均配备了无线上网、冷暖空调、私人保险箱等各项设施，是您商务、旅游、会议、休闲下榻之首选。酒店还配套有大中小多功能会议厅，能够满足各类宾客的会务需求。中餐厅位于酒店3楼，拥有宽敞的宴会大厅和9间风格各异的贵宾包房，可容纳300人同时就餐，特聘享誉粤海地区的名厨主理，是远近驰名的粤菜海鲜食府。酒店同时还有硅谷西餐厅、禄月蝦小龙虾海鲜烤肉、商务中心、水会桑拿等配套实施，为宾客提供最完美的一站式服务。",19
桔子水晶深圳坂田华为总部酒店,高档型,深圳市,龙岗区,广东省深圳市龙岗区华为总部,"114.057571,22.656954",电话0755-89506789  纠错,¥528,"桔子水晶深圳坂田华为总部酒店位于雪岗北路，毗邻华为总部、天安云谷、宝能科技园及富士康等科技园区，交通便捷，地理位置优越。
　　桔子水晶深圳坂田华为总部酒店是华住酒店集团旗下桔子水晶品牌设计、装修及运营管理的酒店。桔子水晶酒店是国内知名精品设计师酒店，拥有庞大的国际化酒店设计师队伍，12年里一直秉承“一店一设计”的设计理念，将每一家酒店都当成艺术品来打造。
　　酒店结合深圳地区特色，以“南越流金”为主题，从“尊享、精致、低奢、品味”四个方面展开设计，精心打造出12种不同特色的房型，致力于要用设计的美来颠覆您对酒店的认知。
　　客房隔音效果好与智能化程度高是酒店另外两大特色。隔音系统由清华大学声学所专业设计；智能化程度高（自助入住系统；人体感应取电；三诺音响支持手机、平板和电脑连接，播放视频和音乐；电动窗帘；智能灯光场景模式）；配有中央空调、科勒卫浴、飞利浦电视、梦神高星床垫及雅高床品。
　　酒店另设有早餐厅、会议室、健身房、洗衣房等配套设施，为客人提供高品质的住宿体验。",20
深圳东海朗廷酒店,豪华型,深圳市,福田区,广东省深圳市福田区深圳东海朗廷酒店,"114.019853,22.536335",电话0755-88289888  纠错,¥1796,"深圳东海朗廷酒店位于福田区，毗邻深圳市中心的商业娱乐区，地铁站及深广高速公路近在咫尺，出行便捷，为各地住客提供崭新和豪华舒适的住宿体验。
　　朗廷璀璨不朽的传奇始于1865年，当时伦敦朗廷酒店开业，成为欧洲一家豪华酒店。朗廷酒店集团的网络遍及全球，无论在旗下任何一间酒店，独特的瑰丽显赫设计、创新的待客之道和体贴挚诚的服务，都会令客人眼前一亮。酒店餐厅不少已获米其林星级评级，质素备受肯定。
　　酒店设有豪华客房及套房三百余间，从典雅舒适的豪华客房至富丽堂皇的套房，一如既往地秉承了朗廷酒店细致周到的服务理念，为宾客缔造难以忘怀的奢华体验。
　　置身深圳东海朗廷酒店，宾客可尽情品尝琳琅满目的缤纷美食，您可选择风格时尚的酒店大堂酒廊「廷廊」，细味久负盛名的朗廷英式下午茶；置身「唐阁」，感受正宗粤菜的原汁原味；前往秀●自助餐厅，体验不同国家的特色料理及丰盛的全球海鲜自助大餐；在「珍藏坊」品味各款诱人巧克力珍品；到「池畔酒吧」惬意享用精致轻食与各款鸡尾酒；或于「爵廊」品尝多款餐前小食与上乘葡萄酒，伴随现场爵士乐悠扬的表演，尽享高尚雅致的傍晚餐飨体验。
　　地处活力之都，深圳朗廷酒店以迷人的风姿展现欧洲豪华酒店的古典风华，为宾客奉上朗廷品牌典雅高贵的奢华。
　　位于酒店22及23层的朗廷会以令人耳目一新的欧式经典奢华之风重装启幕，打造悠然宁谧的世外桃源，承续朗廷百年致臻服务传统。",21
精选 美豪丽致酒店(深圳福田会展中心店),高档型,深圳市,福田区,广东省深圳市福田区深圳福田会展中心,"114.068438,22.530431",电话+86-13670057314 传真0755-82901390  纠错,,"美豪丽致酒店(深圳福田会展中心店)位于深圳福田区金融中心和购物中心，离会展中心和皇岗口岸约5分钟车程，交通便利。
　　酒店装修风格采取回归自然的青砖、水泥、原生态的木质为基调，配上智能淋浴温控+5S出水系统，3D投影设等智能设施的各类客房。
　　此外，餐厅环境优雅，凡入住的客人可在餐厅享受早餐和上下午茶。酒店还设有商务中心，洗衣房，健身房，休闲小花园等综合配套设施，是商务出差，旅游休闲优质之选。",22
精选 美豪酒店(深圳机场店),高档型,深圳市,宝安区,广东省深圳市宝安区美豪酒店,"113.837475,22.626381",电话0755-23289888 传真0755-23288188  纠错,¥386,"美豪酒店(深圳机场店)位于深圳宝安区宝安大道，近凯成二路，距离罗宝地铁线后瑞站A出口约300米，距离福永码头约8分钟车程，经机场或福永码头可转香港、澳门。
　　酒店时尚又舒适的客房内配有先进的设施设备。入住期间酒店还提供免押金、免查房等快速入离服务，提供免费上下午茶，免费洗衣、熨衣，30分钟不满意全额退房，免费延迟退房至14:00，免费机场接送机等超值服务（详情请咨询商家）。
　　酒店精心为您打造特色的贴身管家订制服务，不断为您创造再次选择美豪的理由。致力于为客人创造无限尊崇礼遇及舒适的入住体验，将美豪这一酒店品牌在城市间梦幻般绽放，自在旅途，畅想商务，人在旅途，心在美豪！美豪酒店--献给懂生活的您！酒店以热忱真挚的服务，为宾客营造舒心、静谧的入住环境，使宾客享受每一段自在旅程。",23
深圳中南海怡酒店,高档型,深圳市,福田区,广东省深圳市福田区中南海怡酒店,"114.023819,22.537008",电话0755-83786666 传真0755-83786555  纠错,¥419,"深圳中南海怡酒店位于深圳市福田区深南大道，紧邻招商银行大厦、工商物价大厦、东海花园、东海国际中心、地铁1、7、9、11号线车公庙B出口，地铁直达会展中心、世界之窗、欢乐谷、锦绣中华等。
　　酒店到到会展中心约5分钟，附近有休闲胜地“红树林”、深圳湾公园、香蜜公园、美食街——香蜜湖度假村；毗邻东海缤纷天地、丰盛町步行商业街、东海城市广场、太平洋电影院、沃尔玛（山姆会员店）购物中心等。
　　这是一家按绿色5A级酒店标准投资兴建的精品商务酒店，以后现代文化为主题，时尚、简约及端庄的设计风格，别具一格的概念客房，浓郁欧洲风格的西餐厅融合古典中式厅房，在中西合壁中诠释了现代都市人对时尚、精致生活的追求。酒店现代感十足的商务设施，贴心设计的健身房，让您的商旅人生尽享居家时的便利生活。",24
深圳大梅沙京基洲际度假酒店,国家旅游局评定为五星级,深圳市,盐田区,广东省深圳市盐田区大梅沙,"114.307131,22.595267",电话0755-88886688  纠错,¥1454,"深圳大梅沙京基洲际度假酒店坐落在久负盛名的深圳东部大梅沙海滨。面朝波澜壮阔的南海，另三面则被梧桐山脉环拥入怀。酒店主楼犹如一条脚踏祥云，翘首远望的巨龙，蜿蜒盘旋在山海间，欲与这座活力之城比肩腾飞。
　　近4000平方米的室外湖型游泳池则似“龙吐碧珠”点缀其间，与之相映成趣，蔚为壮观。洲际行政俱乐部依主楼铺陈而建，成就另一方世外桃源。
　　酒店拥有四百余间全海景客房及套房，提供多种房型选择，所有房间均配有宽敞的观景露台，可在此小酌、信步，迎接日出、观赏日落，纵览海天一色。房间设计轻盈贴合滨海风情，自然清新，现代奢华的设施及高端用品，为您的起居打造舒适尊贵之享。
　　酒店专为儿童开放室内儿童俱乐部、室外儿童游乐场、带滑梯的儿童泳池（夏季开放），其他活动设施包括室内外泳池、棋牌室、健身中心、桑拿浴室、水疗中心、游艇及沙滩。
　　酒店还有2165平方米的会议及活动空间，包括一个豪华宴会厅、10个多功能室和1500平方米可欣赏辽阔海景的宴会前厅，众多公司的重大会议以及个人的隆重婚礼都会选择在此，加上专业的餐饮团队，确保活动圆满成功。",25
精选 丽呈東谷酒店(深圳南山科技园店),高档型,深圳市,南山区,广东省深圳市南山区深圳南山科技园,"113.929870,22.540688",电话86--19928785022  纠错,¥522,"丽呈東谷酒店(深圳南山科技园店)位于南山区南头街1956数字文化创意园区内，地处商业圈核心部位，毗邻南头大厦、大新大厦、田厦翡翠明珠花园等高端写字楼，步行约3分钟可到达集娱乐、购物、餐饮于一体的欢乐颂购物中心；距离1号地铁大新站A出口约600米。      
　　酒店紧靠深南大道，海、陆、空交通便利；深圳高新技术产业园区、深圳湾口岸、蛇口港务区、 前海物流区、南山商业文化中心等地标近在咫尺。更有世界之窗、欢乐谷、锦绣中华、青青世界、野生动物园等全国著名的主题公园环绕四周，步行约10分钟可达中山公园、荷兰花卉小镇、南头古城等有名休闲景点。距离深圳湾口岸、蛇口港、广深高速公路、深港西部通道、滨海大道约5-20分钟车程。 
　　酒店用东方美学和现代设计理念相融合，大处至简，小处至精；通过沉浸式五感体验，让宾客享受东方文化的舒情和美感，愉悦身心。IFA和NAHA认证的专属香氛。床上用品轻柔贴合，如梦云端；全套高端洗浴用品，用心呵护身体每一寸肌肤；百兆WIFI全覆盖，讯息畅通轻快。
　　酒店设有静心大堂，多功能无柱会议室，自助早餐厅，自助洗衣房，休闲茶吧等，为您提供一个轻松自在，闲憩自如的他乡空间，是您商务出行和旅游的上佳之选。",26
精选 深圳前海郁锦香酒店,高档型,深圳市,南山区,广东省深圳市南山区深圳前海,"113.901965,22.517405",电话0755-88991888 传真0755-86253833  纠错,¥565,"深圳前海郁锦香酒店位于深圳市南山区前海路中段，毗邻前海合作区、蛇口港、深圳湾口岸、科技园、宝安新区。
　　前海郁锦香酒店是由深圳市多伦多酒店管理有限公司投资、锦江国际集团负责管理的一家国际高端酒店。郁锦香品牌于1962年创立于荷兰，是法国卢浮集团旗下的中高端全服务酒店品牌。2015年，锦江国际集团收购卢浮集团之后，通过品牌合作方式引入郁锦香品牌。郁锦香品牌秉承突破传统、与众不同的品牌特色，倡导将妙趣融入工作和生活，让客人在商务和休闲旅途中感受当地文化，“趣”享受每一刻。酒店是一家卓越非凡的轻奢商务型酒店。酒店整体设计典雅，配套设施卓越，休闲风里兼具办公气质，风格端庄不失时尚，为顾客提供雅住、美食、会务、商旅之应有尽有的热忱服务，很好地传承了“随时趣感受”的品牌理念。
　　酒店楼高21层，一楼大堂设计新颖别致，雍容华贵不脱儒雅风范。酒店拥有一百余间宽敞、时尚、雅致的精品客房。步入客房，客人可倚窗眺望南山全貌，前海美景尽收眼底，能让客人心胸豁然开朗、灵感如泉。客房内配有现代卫浴设施、贴合时代的智能化设施、温馨怡人的床上用品，不但显示出酒店在设计上的独具匠心，而且也体现了酒店对客人体贴入微的人文关怀。",27
海舍假日酒店(深圳较场尾店),舒适型,深圳市,龙岗区,广东省深圳市龙岗区海舍假日酒店,"114.517499,22.592340",电话0755-89221999 传真0755-89221888  纠错,¥681,海舍假日酒店源于东南亚异国风情设计理念，配套设施齐全，并规划休闲会所、会议中心、沙滩浴场、空中花园酒吧、露天烧烤场及棋牌室、健身房、无边界泳池，儿童乐园、购物中心、美食酒吧街等。让宾客远离城市喧嚣，领略浪漫海岸风光，畅享缤纷假日生活！酒店毗邻大鹏所城、东山寺、较场尾民宿小镇、龙岐湾风景区。酒店精心打造两百余间/套不同风格、舒适高雅、突显个性的精品客房，畅享“海天一色”完美入住体验。餐厅东南亚风情格调，可同时容纳300人的零点餐厅及15间高档包房，宴会厅1个。酒店设有会议室4个，多功能宴会厅1个，承接培训研讨、产品发布、大型庆典及婚寿喜宴等大型接待活动。KTV1间：尊享动感影视音响系统，极具奢华风调，朋友聚会、生日Party、K歌休闲好去处！,28
